file_Size_bytes	number_of_files	bandwidth_Gbps	rtt_ms	buffer_size_bytes	p	cc	pp	fast	throughput_MByteps	time_sec	start_time_mm_dd_yyyy_hh_mm
209715259	69	10	39	49920000	8	2	16	1	189.831177405	72.6961929798	05:20:2016-17:42
209715259	69	10	39	49920000	8	2	32	0	198.531364663	69.5104470253	05:20:2016-17:43
209715259	69	10	39	49920000	8	2	32	1	190.145825756	72.5758972168	05:20:2016-17:44
209715259	69	10	39	49920000	8	4	1	0	273.259667339	50.5014297962	05:20:2016-17:45
209715259	69	10	39	49920000	8	4	1	1	312.827224722	44.113820076	05:20:2016-17:46
209715259	69	10	39	49920000	8	4	2	0	305.244146825	45.2097249031	05:20:2016-17:47
209715259	69	10	39	49920000	8	4	2	1	287.803036622	47.9494729042	05:20:2016-17:48
209715259	69	10	39	49920000	8	4	4	0	316.568604626	43.5924589634	05:20:2016-17:48
209715259	69	10	39	49920000	8	4	4	1	306.278535067	45.0570390224	05:20:2016-17:49
209715259	69	10	39	49920000	8	4	8	0	298.76488038	46.1901810169	05:20:2016-17:50
209715259	69	10	39	49920000	8	4	8	1	284.075252349	48.5786910057	05:20:2016-17:51
209715259	69	10	39	49920000	8	4	16	0	235.651244517	58.5611331463	05:20:2016-17:52
209715259	69	10	39	49920000	8	4	16	1	204.521260405	67.4746668339	05:20:2016-17:53
209715259	69	10	39	49920000	8	4	32	0	125.178244258	110.242830038	05:20:2016-17:55
209715259	69	10	39	49920000	8	4	32	1	142.075586669	97.1314229965	05:20:2016-17:56
209715259	69	10	39	49920000	8	8	1	0	384.822760889	35.8606748581	05:20:2016-17:57
209715259	69	10	39	49920000	8	8	1	1	421.108575367	32.7706551552	05:20:2016-17:57
209715259	69	10	39	49920000	8	8	2	0	415.282496591	33.2304010391	05:20:2016-17:58
209715259	69	10	39	49920000	8	8	2	1	410.176351716	33.6440749168	05:20:2016-17:58
