file_size,number_of_files,bandwidth,rtt,buffer_size,p,cc,pp,throughput,time,source,destination
512096,128,10000,0.04,33554432,32,16,16,113.3744367,4.411069155,Stampede,Gordon/oasis
1048641,1000,10000,0.04,33554432,2,4,2,1024.7727220000002,7.8071339129999995,Stampede,Gordon/oasis
1048640,512,10000,0.04,33554432,1,2,2,518.2189867,7.90452385,Stampede,Gordon/oasis
1048656,256,10000,0.04,33554432,2,1,4,366.37798660000004,5.59032917,Stampede,Gordon/oasis
1073742080,16,10000,0.04,33554432,2,2,1,1945.529393,67.37091804,Stampede,Gordon/Oasis
512069,1000,10000,0.04,33554432,32,2,2,321.1560308,12.16481996,Stampede,Gordon/oasis
256072,512,10000,0.04,33554432,4,4,1,140.138397,7.137885094,Stampede,Gordon/oasis
104857664,64,10000,0.04,33554432,1,16,4,612.2675111000001,83.62366915,Stampede,Gordon/Oasis
512069,1000,10000,0.04,33554432,4,32,2,695.8573717,5.614382029,Stampede,Gordon/oasis
512069,1000,10000,0.04,33554432,2,8,1,595.1150122,6.564830065,Stampede,Gordon/oasis
1048672,128,10000,0.04,33554432,8,32,16,231.3851466,4.425970793,Stampede,Gordon/oasis
1048641,1000,10000,0.04,33554432,8,2,2,535.7926666000001,14.93215489,Stampede,Gordon/oasis
512072,512,10000,0.04,33554432,8,4,4,405.29533189999995,4.93540597,Stampede,Gordon/oasis
1048656,256,10000,0.04,33554432,4,4,16,326.13439339999996,6.2801370620000005,Stampede,Gordon/oasis
1048656,256,10000,0.04,33554432,16,16,1,440.5080597,4.649574995,Stampede,Gordon/oasis
104857664,64,10000,0.04,33554432,4,4,16,767.5615374,66.70482898,Stampede,Gordon/Oasis
1073742080,16,10000,0.04,33554432,2,1,16,1631.312441,80.34765506,Stampede,Gordon/Oasis
1048641,1000,10000,0.04,33554432,32,2,8,818.8634594,9.770288943999999,Stampede,Gordon/oasis
256072,512,10000,0.04,33554432,32,16,32,260.0060515,3.8471770289999996,Stampede,Gordon/oasis
1073742080,16,10000,0.04,33554432,16,16,1,6650.1463969999995,19.70970106,Stampede,Gordon/Oasis
1073742080,16,10000,0.04,33554432,1,4,32,1785.23122,73.42023897,Stampede,Gordon/Oasis
512069,1000,10000,0.04,33554432,1,1,8,273.1499479,14.30277109,Stampede,Gordon/oasis
1048672,128,10000,0.04,33554432,32,16,1,213.9161367,4.7874069210000005,Stampede,Gordon/oasis
256072,512,10000,0.04,33554432,32,2,4,184.1544739,5.431792021000001,Stampede,Gordon/oasis
256069,1000,10000,0.04,33554432,32,4,4,304.0331514,6.425873041,Stampede,Gordon/oasis
256072,512,10000,0.04,33554432,4,4,2,166.3382304,6.013607025,Stampede,Gordon/oasis
512069,1000,10000,0.04,33554432,32,16,1,440.76239010000006,8.863775969,Stampede,Gordon/oasis
256069,1000,10000,0.04,33554432,8,2,4,240.6269253,8.119096994,Stampede,Gordon/oasis
1048656,256,10000,0.04,33554432,1,4,32,565.4191387999999,3.622441053,Stampede,Gordon/oasis
512080,256,10000,0.04,33554432,32,4,1,184.5612861,5.419143915,Stampede,Gordon/oasis
256072,512,10000,0.04,33554432,1,8,1,222.164661,4.502476931,Stampede,Gordon/oasis
256069,1000,10000,0.04,33554432,16,1,8,153.5480448,12.72349691,Stampede,Gordon/oasis
512096,128,10000,0.04,33554432,4,8,2,161.1002241,3.104315043,Stampede,Gordon/oasis
1048641,1000,10000,0.04,33554432,4,2,8,741.9226622,10.78351593,Stampede,Gordon/oasis
1048672,128,10000,0.04,33554432,32,2,32,202.5006477,5.057284117,Stampede,Gordon/oasis
1048656,256,10000,0.04,33554432,1,1,16,427.79489620000004,4.787781,Stampede,Gordon/oasis
256069,1000,10000,0.04,33554432,2,2,32,317.7001193,6.149407148,Stampede,Gordon/oasis
1048672,128,10000,0.04,33554432,4,4,16,226.0200614,4.531057119,Stampede,Gordon/oasis
256080,256,10000,0.04,33554432,8,16,2,162.3990446,3.079851151,Stampede,Gordon/oasis
104857664,64,10000,0.04,33554432,8,2,8,1492.366424,34.30799508,Stampede,Gordon/Oasis
256080,256,10000,0.04,33554432,1,32,1,132.5478987,3.773472071,Stampede,Gordon/oasis
256096,128,10000,0.04,33554432,1,4,16,101.0077398,2.4760398869999998,Stampede,Gordon/oasis
1048672,128,10000,0.04,33554432,1,32,32,256.0042416,4.000346899,Stampede,Gordon/oasis
1048641,1000,10000,0.04,33554432,1,2,32,757.5021612,10.56176114,Stampede,Gordon/oasis
512072,512,10000,0.04,33554432,2,1,2,170.6244782,11.72333312,Stampede,Gordon/oasis
1048641,1000,10000,0.04,33554432,16,32,2,783.1005741,10.21653008,Stampede,Gordon/oasis
1048641,1000,10000,0.04,33554432,2,2,4,516.7895375,15.48124099,Stampede,Gordon/oasis
512096,128,10000,0.04,33554432,16,8,32,131.7360475,3.796278954,Stampede,Gordon/oasis
512080,256,10000,0.04,33554432,8,32,1,281.7789147,3.549506187,Stampede,Gordon/oasis
512080,256,10000,0.04,33554432,1,4,32,348.76526010000003,2.867749929,Stampede,Gordon/oasis
1048672,128,10000,0.04,33554432,32,1,8,161.0967443,6.357062817,Stampede,Gordon/oasis
256080,256,10000,0.04,33554432,1,32,2,142.3313671,3.514112949,Stampede,Gordon/oasis
1048656,256,10000,0.04,33554432,4,16,1,460.67951789999995,4.446038961,Stampede,Gordon/oasis
1048656,256,10000,0.04,33554432,1,2,2,418.95707389999995,4.888744831,Stampede,Gordon/oasis
256080,256,10000,0.04,33554432,2,2,32,145.99079019999996,3.425981998,Stampede,Gordon/oasis
256080,256,10000,0.04,33554432,1,2,2,104.4435065,4.788810968,Stampede,Gordon/oasis
1048672,128,10000,0.04,33554432,2,8,4,288.39563239999995,3.55104804,Stampede,Gordon/oasis
104857664,64,10000,0.04,33554432,2,16,8,757.0538537000001,67.63069487,Stampede,Gordon/Oasis
1073742080,16,10000,0.04,33554432,4,1,16,2174.878513,60.26641822,Stampede,Gordon/Oasis
512069,1000,10000,0.04,33554432,1,2,16,567.1727512,6.888246059,Stampede,Gordon/oasis
256072,512,10000,0.04,33554432,8,16,32,292.1204762,3.4242808819999997,Stampede,Gordon/oasis
512080,256,10000,0.04,33554432,16,8,2,243.01401,4.115731955,Stampede,Gordon/oasis
1048656,256,10000,0.04,33554432,4,2,1,321.03995269999996,6.379801035,Stampede,Gordon/oasis
256096,128,10000,0.04,33554432,32,1,8,73.24303317,3.41464901,Stampede,Gordon/oasis
512069,1000,10000,0.04,33554432,4,4,32,489.92565089999994,7.9742848870000005,Stampede,Gordon/oasis
