exp_id,transfer_id,type,file_size,num_files,bandwidth,tcp_bs,rtt,cc,p,pp,throughput,source,destination
exp_ch,106,I,782936832,48,10,212992,0.036,16,24,32,1980.023608,chi,tacc
exp_ch,106,C,756133672,19,10,212992,0.036,16,24,32,1093.176752,chi,tacc
exp_ch,106,C,10521460,1648,10,212992,0.036,16,24,32,1318.811973,chi,tacc
exp_ch,107,I,10497940,3500,10,212992,0.036,20,24,32,823.7711151,chi,tacc
exp_ch,107,I,782936832,48,10,212992,0.036,20,24,32,1715.58441,chi,tacc
exp_ch,107,C,799452013,21,10,212992,0.036,20,24,32,1277.428309,chi,tacc
exp_ch,107,C,10516550,1365,10,212992,0.036,20,24,32,1091.806384,chi,tacc
exp_ch,108,I,10497940,3500,10,212992,0.036,24,24,32,744.3956976,chi,tacc
exp_ch,108,I,782936832,48,10,212992,0.036,24,24,32,1682.150659,chi,tacc
exp_ch,108,C,768095518,25,10,212992,0.036,24,24,32,1461.134571,chi,tacc
exp_ch,108,C,10514623,1049,10,212992,0.036,24,24,32,838.9339195,chi,tacc
exp_ch,109,I,10497940,3500,10,212992,0.036,4,4,32,645.9670222,chi,tacc
exp_ch,109,I,782936832,48,10,212992,0.036,4,4,32,1312.252584,chi,tacc
exp_ch,109,C,734888192,16,10,212992,0.036,4,4,32,894.7454989,chi,tacc
exp_ch,109,C,10552230,1718,10,212992,0.036,4,4,32,1373.668161,chi,tacc
exp_ch,110,I,10497940,3500,10,212992,0.036,8,4,32,590.6201057,chi,tacc
exp_ch,110,I,782936832,48,10,212992,0.036,8,4,32,1165.864014,chi,tacc
exp_ch,110,C,762914230,14,10,212992,0.036,8,4,32,812.7295701,chi,tacc
exp_ch,110,C,10528305,1759,10,212992,0.036,8,4,32,1408.496293,chi,tacc
exp_ch,111,I,10497940,3500,10,212992,0.036,12,4,32,594.3999539,chi,tacc
exp_ch,111,I,782936832,48,10,212992,0.036,12,4,32,1768.982187,chi,tacc
exp_ch,111,C,731766302,17,10,212992,0.036,12,4,32,946.5900979,chi,tacc
exp_ch,111,C,10498605,1844,10,212992,0.036,12,4,32,1472.444083,chi,tacc
exp_ch,112,I,10497940,3500,10,212992,0.036,16,4,32,870.8575011,chi,tacc
exp_ch,112,I,782936832,48,10,212992,0.036,16,4,32,1855.189417,chi,tacc
exp_ch,112,C,756648391,18,10,212992,0.036,16,4,32,1036.319607,chi,tacc
exp_ch,112,C,10472967,1714,10,212992,0.036,16,4,32,1365.266397,chi,tacc
exp_ch,113,I,10497940,3500,10,212992,0.036,20,4,32,789.092457,chi,tacc
exp_ch,113,I,782936832,48,10,212992,0.036,20,4,32,1741.591263,chi,tacc
exp_ch,113,C,746692812,20,10,212992,0.036,20,4,32,1136.324122,chi,tacc
exp_ch,113,C,10490745,1510,10,212992,0.036,20,4,32,1204.843924,chi,tacc
exp_ch,114,I,10497940,3500,10,212992,0.036,24,4,32,705.706677,chi,tacc
exp_ch,114,I,782936832,48,10,212992,0.036,24,4,32,1522.61905,chi,tacc
exp_ch,114,C,656323242,24,10,212992,0.036,24,4,32,1198.581242,chi,tacc
exp_ch,114,C,10468027,1330,10,212992,0.036,24,4,32,1058.932188,chi,tacc
exp_ch,115,I,10497940,3500,10,212992,0.036,4,8,32,593.2199053,chi,tacc
exp_ch,115,I,782936832,48,10,212992,0.036,4,8,32,1211.117333,chi,tacc
exp_ch,115,C,718318478,18,10,212992,0.036,4,8,32,983.8574897,chi,tacc
exp_ch,115,C,10549069,1499,10,212992,0.036,4,8,32,1202.730288,chi,tacc
exp_ch,116,I,10497940,3500,10,212992,0.036,8,8,32,655.8278391,chi,tacc
exp_ch,116,I,782936832,48,10,212992,0.036,8,8,32,1871.61879,chi,tacc
exp_ch,116,C,740860177,15,10,212992,0.036,8,8,32,845.6083466,chi,tacc
exp_ch,116,C,10484295,1960,10,212992,0.036,8,8,32,1562.944066,chi,tacc
exp_ch,117,I,10497940,3500,10,212992,0.036,12,8,32,877.0035472,chi,tacc
exp_ch,117,I,782936832,48,10,212992,0.036,12,8,32,1769.390274,chi,tacc
exp_ch,117,C,784564770,15,10,212992,0.036,12,8,32,895.4969703,chi,tacc
exp_ch,117,C,10504385,1827,10,212992,0.036,12,8,32,1459.685515,chi,tacc
exp_ch,118,I,10497940,3500,10,212992,0.036,16,8,32,775.3941517,chi,tacc
exp_ch,118,I,782936832,48,10,212992,0.036,16,8,32,1526.884418,chi,tacc
exp_ch,118,C,749307676,18,10,212992,0.036,16,8,32,1026.268845,chi,tacc
exp_ch,118,C,10514053,1634,10,212992,0.036,16,8,32,1306.638897,chi,tacc
exp_ch,119,I,10497940,3500,10,212992,0.036,20,8,32,708.9355234,chi,tacc
exp_ch,119,I,782936832,48,10,212992,0.036,20,8,32,1278.887781,chi,tacc
exp_ch,119,C,726187251,21,10,212992,0.036,20,8,32,1160.359905,chi,tacc
exp_ch,119,C,10455297,1375,10,212992,0.036,20,8,32,1093.407856,chi,tacc
exp_ch,120,I,10497940,3500,10,212992,0.036,24,8,32,587.8501907,chi,tacc
exp_ch,120,I,782936832,48,10,212992,0.036,24,8,32,1355.285049,chi,tacc
exp_ch,120,C,641707540,25,10,212992,0.036,24,8,32,1220.667252,chi,tacc
exp_ch,120,C,10441430,1246,10,212992,0.036,24,8,32,989.5223069,chi,tacc
exp_ch,121,I,10497940,3500,10,212992,0.036,4,12,32,507.0310121,chi,tacc
exp_ch,121,I,782936832,48,10,212992,0.036,4,12,32,1186.891746,chi,tacc
exp_ch,121,C,751682182,19,10,212992,0.036,4,12,32,1086.768845,chi,tacc
exp_ch,121,C,10529858,1365,10,212992,0.036,4,12,32,1091.007697,chi,tacc
exp_ch,122,I,10497940,3500,10,212992,0.036,8,12,32,690.4566161,chi,tacc
exp_ch,122,I,782936832,48,10,212992,0.036,8,12,32,1900.750996,chi,tacc
exp_ch,122,C,734230784,16,10,212992,0.036,8,12,32,893.8823962,chi,tacc
exp_ch,122,C,10503400,1904,10,212992,0.036,8,12,32,1521.017961,chi,tacc
exp_ch,123,I,10497940,3500,10,212992,0.036,12,12,32,864.8209587,chi,tacc
exp_ch,123,I,782936832,48,10,212992,0.036,12,12,32,1830.076271,chi,tacc
exp_ch,123,C,734135182,18,10,212992,0.036,12,12,32,1005.51289,chi,tacc
exp_ch,123,C,10528782,1730,10,212992,0.036,12,12,32,1385.388059,chi,tacc
exp_ch,124,I,10497940,3500,10,212992,0.036,16,12,32,798.4667846,chi,tacc
exp_ch,124,I,782936832,48,10,212992,0.036,16,12,32,1579.031074,chi,tacc
exp_ch,124,C,10522639,1598,10,212992,0.036,16,12,32,1279.301694,chi,tacc
exp_ch,124,C,749749733,19,10,212992,0.036,16,12,32,1083.478044,chi,tacc
exp_ch,125,I,10497940,3500,10,212992,0.036,20,12,32,765.4797124,chi,tacc
exp_ch,125,I,782936832,48,10,212992,0.036,20,12,32,1490.529431,chi,tacc
exp_ch,125,C,767540077,21,10,212992,0.036,20,12,32,1226.436319,chi,tacc
exp_ch,125,C,10475182,1336,10,212992,0.036,20,12,32,1064.409156,chi,tacc
exp_ch,126,I,10497940,3500,10,212992,0.036,24,12,32,650.1220354,chi,tacc
exp_ch,126,I,782936832,48,10,212992,0.036,24,12,32,1418.967045,chi,tacc
